ProductID;L=3;V_3;E_3;L=4;V_4;E_4;
342;L=3;540;789;L=4;789;1149;
343;L=3;519;786;L=4;786;1201;
344;L=3;531;801;L=4;801;1216;
345;L=3;519;786;L=4;786;1201;
346;L=3;516;758;L=4;758;1118;
347;L=3;536;784;L=4;784;1144;
348;L=3;519;786;L=4;786;1201;
349;L=3;428;659;L=4;659;1018;
350;L=3;428;659;L=4;659;1018;
351;L=3;417;621;L=4;621;925;
352;L=3;563;841;L=4;841;1256;
353;L=3;563;841;L=4;841;1256;
354;L=3;532;779;L=4;779;1139;
355;L=3;508;748;L=4;748;1108;
356;L=3;551;826;L=4;826;1241;
357;L=3;504;743;L=4;743;1103;
358;L=3;520;763;L=4;763;1123;
359;L=3;512;753;L=4;753;1113;
360;L=3;519;786;L=4;786;1201;
361;L=3;551;826;L=4;826;1241;
362;L=3;417;621;L=4;621;925;
363;L=3;428;659;L=4;659;1018;
364;L=3;520;764;L=4;764;1124;
365;L=3;527;796;L=4;796;1211;
366;L=3;413;617;L=4;617;921;
367;L=3;428;659;L=4;659;1018;
368;L=3;544;793;L=4;793;1153;
369;L=3;544;793;L=4;793;1153;
370;L=3;512;753;L=4;753;1113;
371;L=3;504;743;L=4;743;1103;
372;L=3;500;739;L=4;739;1099;
373;L=3;544;794;L=4;794;1154;
374;L=3;547;821;L=4;821;1236;
375;L=3;417;621;L=4;621;925;
376;L=3;492;729;L=4;729;1089;
377;L=3;528;774;L=4;774;1134;
378;L=3;540;788;L=4;788;1148;
379;L=3;520;764;L=4;764;1124;
380;L=3;413;617;L=4;617;921;
381;L=3;532;779;L=4;779;1139;
382;L=3;527;796;L=4;796;1211;
383;L=3;512;753;L=4;753;1113;
384;L=3;417;621;L=4;621;925;
385;L=3;428;659;L=4;659;1018;
386;L=3;508;748;L=4;748;1108;
387;L=3;413;617;L=4;617;921;
388;L=3;417;621;L=4;621;925;
389;L=3;532;779;L=4;779;1139;
390;L=3;428;659;L=4;659;1018;
391;L=3;428;659;L=4;659;1018;
392;L=3;531;801;L=4;801;1216;
393;L=3;428;659;L=4;659;1018;
394;L=3;536;784;L=4;784;1144;
395;L=3;527;796;L=4;796;1211;
396;L=3;540;789;L=4;789;1149;
397;L=3;515;781;L=4;781;1196;
398;L=3;413;617;L=4;617;921;
399;L=3;552;803;L=4;803;1163;
400;L=3;417;621;L=4;621;925;
