Mutation Operator;Product ID;Number of Valid Mutants;Number of Invalid Mutants;Detected Valid Mutants L=2; Detected Invalid Mutants L=2;Fault Detection Percentange L=2;Detected Valid Mutants L=3; Detected Invalid Mutants L=3;Fault Detection Percentange L=3;Detected Valid Mutants L=4; Detected Invalid Mutants L=4;Fault Detection Percentange L=4
Event Inserter;10;100;0;100;0;100,00;100;0;100,00;100;0;100,00;
Event Inserter;11;144;0;144;0;100,00;144;0;100,00;144;0;100,00;
Event Inserter;12;196;0;196;0;100,00;196;0;100,00;196;0;100,00;
Event Inserter;13;256;0;256;0;100,00;256;0;100,00;256;0;100,00;
Event Inserter;14;100;0;100;0;100,00;100;0;100,00;100;0;100,00;
Event Inserter;15;144;0;144;0;100,00;144;0;100,00;144;0;100,00;
Event Inserter;16;169;0;169;0;100,00;169;0;100,00;169;0;100,00;
Event Inserter;17;64;0;64;0;100,00;64;0;100,00;64;0;100,00;
Event Inserter;18;100;0;100;0;100,00;100;0;100,00;100;0;100,00;
Event Inserter;19;144;0;144;0;100,00;144;0;100,00;144;0;100,00;
Event Inserter;20;196;0;196;0;100,00;196;0;100,00;196;0;100,00;
Event Inserter;21;225;0;225;0;100,00;225;0;100,00;225;0;100,00;
Event Inserter;22;81;0;81;0;100,00;81;0;100,00;81;0;100,00;
Event Inserter;23;121;0;121;0;100,00;121;0;100,00;121;0;100,00;
