RunID;SPL Name;Coverage Type;Total Elapsed Time(ms);SAT Time(ms);Product Gen Time(ms);Test Generation Time(ms);Test Generation Peak Memory(MB);Number of ESGFx Vertices;Number of ESGFx Edges;Number of ESGFx Test Cases;Number of ESGFx Test Events;L1 Coverage(%);Coverage Analysis Time(ms);Test Execution Time(ms);Test Execution Peak Memory(MB);Processed Products;Failed Products
1;eM;L1;28,69;6,57;0,61;17,83;11;73;139;23;115;100;3,4;0,27;1,94;6;0
2;eM;L1;155,52;64,64;1,15;83,14;9;13;23;4;19;100;5,79;0,8;2,25;1;0
3;eM;L1;130,32;57,26;1,2;62,75;9;13;23;4;19;100;6,21;2,9;2,25;1;0
4;eM;L1;88,81;27,88;1,46;54,36;9;13;23;4;19;100;4,39;0,72;2,25;1;0
5;eM;L1;105,55;37,16;1,12;62,03;9;13;23;4;19;100;4,58;0,65;2,25;1;0
6;eM;L1;422,54;191,32;1,36;224,08;9;13;23;4;19;100;5,1;0,68;2,25;1;0
7;eM;L1;405,24;261,49;15,24;116,3;9;13;23;4;19;100;11,51;0,7;2,25;1;0
8;eM;L1;433,06;267,44;1,21;158,55;9;13;23;4;19;100;5,13;0,74;2,25;1;0
9;eM;L1;466,41;279,14;0,92;172,76;9;13;23;4;19;100;12,87;0,72;2,25;1;0
10;eM;L1;554,24;266,22;14,91;265,24;9;13;23;4;19;100;7,02;0,84;2,25;1;0
11;eM;L1;464,92;345,27;1,25;113,74;9;13;23;4;19;100;3,86;0,8;2,25;1;0
