RunID;SPL Name;Coverage Type;Total Elapsed Time(ms);SAT Time(ms);Product Gen Time(ms);Test Generation Time(ms);Test Generation Peak Memory(MB);Number of ESGFx Vertices;Number of ESGFx Edges;Number of ESGFx Test Cases;Number of ESGFx Test Events;L1 Coverage(%);Coverage Analysis Time(ms);Test Execution Time(ms);Test Execution Peak Memory(MB);Processed Products;Failed Products
1;SVM;L1;20,7;3,19;0,31;15,52;10;30;30;6;30;100;1,44;0,24;1,84;3;0
2;SVM;L1;17,41;3,59;0,31;11,84;9;30;30;6;30;100;1,47;0,21;1,84;3;0
3;SVM;L1;118,22;36,75;0,55;75,65;8;11;11;2;11;100;4,54;0,73;2,15;1;0
4;SVM;L1;128,0;31,56;0,89;90,66;8;11;11;2;11;100;4,08;0,82;2,15;1;0
5;SVM;L1;212,34;110,14;1,07;85,31;8;11;11;2;11;100;15,0;0,82;2,15;1;0
6;SVM;L1;235,34;136,24;0,63;91,67;8;11;11;2;11;100;5,85;0,95;2,15;1;0
7;SVM;L1;395,61;163,3;0,94;226,95;8;11;11;2;11;100;3,8;0,62;2,15;1;0
8;SVM;L1;100,48;37,7;0,83;57,47;8;11;11;2;11;100;3,88;0,6;2,15;1;0
9;SVM;L1;324,68;163,56;2,31;149,5;8;11;11;2;11;100;8,65;0,67;2,15;1;0
10;SVM;L1;180,79;110,76;0,98;63,37;8;11;11;2;11;100;4,97;0,7;2,15;1;0
11;SVM;L1;395,88;253,96;1,01;136,85;8;11;11;2;11;100;3,34;0,73;2,15;1;0
