SPL;Number of Products;ESG-Fx Number of Vertices;ESG-Fx Number of Edges;Avg Number of Vertices;Avg Number of Edges;Total Number of Sequences: randomwalk;Total Number of Events: randomwalk;Avg Number of Sequences: randomwalk;Avg Number of Events: randomwalk;Average randomwalkcoverage;Total Number of Sequences: eventcoverage;Total Number of Events: eventcoverage;Avg Number of Sequences: eventcoverage;Avg Number of Events: eventcoverage;Average eventcoverage;Total Number of Sequences: eventcouplecoverage;Total Number of Events: eventcouplecoverage;Avg Number of Sequences: eventcouplecoverage;Avg Number of Events: eventcouplecoverage;Average eventcouplecoverage;Total Number of Sequences: eventtriplecoverage;Total Number of Events: eventtriplecoverage;Avg Number of Sequences: eventtriplecoverage;Avg Number of Events: eventtriplecoverage;Average eventtriplecoverage;Total Number of Sequences: eventquadruplecoverage;Total Number of Events: eventquadruplecoverage;Avg Number of Sequences: eventquadruplecoverage;Avg Number of Events: eventquadruplecoverage;Average eventquadruplecoverage
SVM;12;13;16;7,17;6,5;21;102;1,75;8,5;97,73;22;109;1,83;9,08;100;22;109;1,83;9,08;100;22;109;1,83;9,08;100;22;109;1,83;9,08;100
El;11;19;66;12,36;31,55;536;1890;48,73;171,82;95,74;45;161;4,09;14,64;100;189;620;17,18;56,36;100;669;2169;60,82;197,18;100;1184;4482;107,64;407,45;100
eM;23;17;26;11,7;18,91;225;1057;9,78;45,96;78,25;102;495;4,43;21,52;100;138;634;6;27,57;100;322;1883;14;81,87;100;793;5617;34,48;244,22;100
BAv2;498;42;38;23,42;19,96;4754;17868;9,55;35,88;99,21;4314;16553;8,66;33,24;100;4407;16506;8,85;33,15;100;4983;19026;10,01;38,21;100;4218;17928;8,47;36;100
SAS;2664;48;83;30,98;46,67;79239;530672;29,74;199,2;95,91;27158;166171;10,19;62,38;100;38236;244862;14,35;91,92;100;68622;466572;25,76;175,14;100;117192;888656;43,99;333,58;100
Tesla;426672;67;272;29,5;37,99;1485963;39802375;3,48;93,29;80,16;1402200;37005264;3,29;86,73;100;3236040;86308128;7,59;202,28;100;5256072;141903072;12,32;332,58;100;6606936;180289728;15,49;422,55;100
Svia;47970;222;602;181,95;494,82;1594708171;25589628658;33243,86;533450,67;99,63;5289878;48851751;110,28;1018,38;100;14282613;138500619;297,74;2887,23;100;16895562;167874801;352,21;3499,58;100;23297139;242011239;485,66;5045,05;100
El;42;19;66;11,19;27,24;1562;5344;37,19;127,24;95,35;173;560;4,12;13,33;100,00;651;1994;15,50;47,48;100,00;2063;6507;49,12;154,93;100,00;3360;12574;80,00;299,38;100,00
