Product ID,Features,Mutation Operator,Mutation Element,Mutant ID,Is Mutant Valid?,Is Fault Detected?
7,P07: <e- au- ad- en>,Event Omitter,enter alias email addresses of receiver/ad,11,true,true
7,P07: <e- au- ad- en>,Event Omitter,create an addressbook for a receiver/ad,12,true,true
7,P07: <e- au- ad- en>,Event Omitter,get alias email addresses of receiver/ad,13,true,true
7,P07: <e- au- ad- en>,Event Omitter,get receiver's public key/en,14,true,true
7,P07: <e- au- ad- en>,Event Omitter,encrypt mail with receiver's public key/en,15,true,true
8,P08: <e- ad- en- s>,Event Omitter,compose new email/e,1,true,true
8,P08: <e- ad- en- s>,Event Omitter,enter receiver's email address/e,2,true,true
8,P08: <e- ad- en- s>,Event Omitter,enter email subject/e,3,true,true
8,P08: <e- ad- en- s>,Event Omitter,enter email body/e,4,true,true
8,P08: <e- ad- en- s>,Event Omitter,send email/e,5,true,true
8,P08: <e- ad- en- s>,Event Omitter,open mailbox/e,6,true,true
8,P08: <e- ad- en- s>,Event Omitter,select email/e,7,true,true
8,P08: <e- ad- en- s>,Event Omitter,enter the receiver's email address/ad,8,true,true
8,P08: <e- ad- en- s>,Event Omitter,enter alias email addresses of receiver/ad,9,true,true
8,P08: <e- ad- en- s>,Event Omitter,create an addressbook for a receiver/ad,10,true,true
8,P08: <e- ad- en- s>,Event Omitter,get alias email addresses of receiver/ad,11,true,true
8,P08: <e- ad- en- s>,Event Omitter,get receiver's public key/en,12,true,true
8,P08: <e- ad- en- s>,Event Omitter,encrypt mail with receiver's public key/en,13,true,true
8,P08: <e- ad- en- s>,Event Omitter,sign mail/s,14,true,true
9,P09: <e- s>,Event Omitter,compose new email/e,1,true,true
9,P09: <e- s>,Event Omitter,enter receiver's email address/e,2,true,true
9,P09: <e- s>,Event Omitter,enter email subject/e,3,true,true
9,P09: <e- s>,Event Omitter,enter email body/e,4,true,true
9,P09: <e- s>,Event Omitter,send email/e,5,true,true
9,P09: <e- s>,Event Omitter,open mailbox/e,6,true,true
9,P09: <e- s>,Event Omitter,select email/e,7,true,true
9,P09: <e- s>,Event Omitter,sign mail/s,8,true,true
10,P10: <e- au- s>,Event Omitter,compose new email/e,1,true,true
10,P10: <e- au- s>,Event Omitter,enter receiver's email address/e,2,true,true
10,P10: <e- au- s>,Event Omitter,enter email subject/e,3,true,true
10,P10: <e- au- s>,Event Omitter,enter email body/e,4,true,true
10,P10: <e- au- s>,Event Omitter,send email/e,5,true,true
10,P10: <e- au- s>,Event Omitter,open mailbox/e,6,true,true
10,P10: <e- au- s>,Event Omitter,select email/e,7,true,true
10,P10: <e- au- s>,Event Omitter,enter email autoresponse date interval/au,8,true,true
10,P10: <e- au- s>,Event Omitter,enter autoresponse email body/au,9,true,true
10,P10: <e- au- s>,Event Omitter,sign mail/s,10,true,true
11,P11: <e- ad- s>,Event Omitter,compose new email/e,1,true,true
11,P11: <e- ad- s>,Event Omitter,enter receiver's email address/e,2,true,true
11,P11: <e- ad- s>,Event Omitter,enter email subject/e,3,true,true
11,P11: <e- ad- s>,Event Omitter,enter email body/e,4,true,true
11,P11: <e- ad- s>,Event Omitter,send email/e,5,true,true
11,P11: <e- ad- s>,Event Omitter,open mailbox/e,6,true,true
11,P11: <e- ad- s>,Event Omitter,select email/e,7,true,true
11,P11: <e- ad- s>,Event Omitter,enter the receiver's email address/ad,8,true,true
11,P11: <e- ad- s>,Event Omitter,enter alias email addresses of receiver/ad,9,true,true
11,P11: <e- ad- s>,Event Omitter,create an addressbook for a receiver/ad,10,true,true
11,P11: <e- ad- s>,Event Omitter,get alias email addresses of receiver/ad,11,true,true
11,P11: <e- ad- s>,Event Omitter,sign mail/s,12,true,true
12,P12: <e- au- ad- s>,Event Omitter,compose new email/e,1,true,true
12,P12: <e- au- ad- s>,Event Omitter,enter receiver's email address/e,2,true,true
12,P12: <e- au- ad- s>,Event Omitter,enter email subject/e,3,true,true
12,P12: <e- au- ad- s>,Event Omitter,enter email body/e,4,true,true
12,P12: <e- au- ad- s>,Event Omitter,send email/e,5,true,true
12,P12: <e- au- ad- s>,Event Omitter,open mailbox/e,6,true,true
12,P12: <e- au- ad- s>,Event Omitter,select email/e,7,true,true
12,P12: <e- au- ad- s>,Event Omitter,enter email autoresponse date interval/au,8,true,true
12,P12: <e- au- ad- s>,Event Omitter,enter autoresponse email body/au,9,true,true
12,P12: <e- au- ad- s>,Event Omitter,enter the receiver's email address/ad,10,true,true
12,P12: <e- au- ad- s>,Event Omitter,enter alias email addresses of receiver/ad,11,true,true
12,P12: <e- au- ad- s>,Event Omitter,create an addressbook for a receiver/ad,12,true,true
12,P12: <e- au- ad- s>,Event Omitter,get alias email addresses of receiver/ad,13,true,true
12,P12: <e- au- ad- s>,Event Omitter,sign mail/s,14,true,true
13,P13: <e- au- ad- en- s>,Event Omitter,compose new email/e,1,true,true
13,P13: <e- au- ad- en- s>,Event Omitter,enter receiver's email address/e,2,true,true
13,P13: <e- au- ad- en- s>,Event Omitter,enter email subject/e,3,true,true
13,P13: <e- au- ad- en- s>,Event Omitter,enter email body/e,4,true,true
13,P13: <e- au- ad- en- s>,Event Omitter,send email/e,5,true,true
13,P13: <e- au- ad- en- s>,Event Omitter,open mailbox/e,6,true,true
13,P13: <e- au- ad- en- s>,Event Omitter,select email/e,7,true,true
13,P13: <e- au- ad- en- s>,Event Omitter,enter email autoresponse date interval/au,8,true,true
13,P13: <e- au- ad- en- s>,Event Omitter,enter autoresponse email body/au,9,true,true
13,P13: <e- au- ad- en- s>,Event Omitter,enter the receiver's email address/ad,10,true,true
13,P13: <e- au- ad- en- s>,Event Omitter,enter alias email addresses of receiver/ad,11,true,true
13,P13: <e- au- ad- en- s>,Event Omitter,create an addressbook for a receiver/ad,12,true,true
13,P13: <e- au- ad- en- s>,Event Omitter,get alias email addresses of receiver/ad,13,true,true
13,P13: <e- au- ad- en- s>,Event Omitter,get receiver's public key/en,14,true,true
13,P13: <e- au- ad- en- s>,Event Omitter,encrypt mail with receiver's public key/en,15,true,true
13,P13: <e- au- ad- en- s>,Event Omitter,sign mail/s,16,true,true
14,P14: <e- en- s>,Event Omitter,compose new email/e,1,true,true
14,P14: <e- en- s>,Event Omitter,enter receiver's email address/e,2,true,true
14,P14: <e- en- s>,Event Omitter,enter email subject/e,3,true,true
14,P14: <e- en- s>,Event Omitter,enter email body/e,4,true,true
14,P14: <e- en- s>,Event Omitter,send email/e,5,true,true
14,P14: <e- en- s>,Event Omitter,open mailbox/e,6,true,true
14,P14: <e- en- s>,Event Omitter,select email/e,7,true,true
14,P14: <e- en- s>,Event Omitter,get receiver's public key/en,8,true,true
14,P14: <e- en- s>,Event Omitter,encrypt mail with receiver's public key/en,9,true,true
14,P14: <e- en- s>,Event Omitter,sign mail/s,10,true,true
15,P15: <e- au- en- s>,Event Omitter,compose new email/e,1,true,true
15,P15: <e- au- en- s>,Event Omitter,enter receiver's email address/e,2,true,true
15,P15: <e- au- en- s>,Event Omitter,enter email subject/e,3,true,true
15,P15: <e- au- en- s>,Event Omitter,enter email body/e,4,true,true
15,P15: <e- au- en- s>,Event Omitter,send email/e,5,true,true
15,P15: <e- au- en- s>,Event Omitter,open mailbox/e,6,true,true
15,P15: <e- au- en- s>,Event Omitter,select email/e,7,true,true
15,P15: <e- au- en- s>,Event Omitter,enter email autoresponse date interval/au,8,true,true
15,P15: <e- au- en- s>,Event Omitter,enter autoresponse email body/au,9,true,true
15,P15: <e- au- en- s>,Event Omitter,get receiver's public key/en,10,true,true
15,P15: <e- au- en- s>,Event Omitter,encrypt mail with receiver's public key/en,11,true,true
15,P15: <e- au- en- s>,Event Omitter,sign mail/s,12,true,true
16,P16: <e- ad- s- f>,Event Omitter,compose new email/e,1,true,true
16,P16: <e- ad- s- f>,Event Omitter,enter receiver's email address/e,2,true,true
16,P16: <e- ad- s- f>,Event Omitter,enter email subject/e,3,true,true
16,P16: <e- ad- s- f>,Event Omitter,enter email body/e,4,true,true
16,P16: <e- ad- s- f>,Event Omitter,send email/e,5,true,true
16,P16: <e- ad- s- f>,Event Omitter,open mailbox/e,6,true,true
16,P16: <e- ad- s- f>,Event Omitter,select email/e,7,true,true
16,P16: <e- ad- s- f>,Event Omitter,enter the receiver's email address/ad,8,true,true
16,P16: <e- ad- s- f>,Event Omitter,enter alias email addresses of receiver/ad,9,true,true
16,P16: <e- ad- s- f>,Event Omitter,create an addressbook for a receiver/ad,10,true,true
16,P16: <e- ad- s- f>,Event Omitter,get alias email addresses of receiver/ad,11,true,true
16,P16: <e- ad- s- f>,Event Omitter,sign mail/s,12,true,true
16,P16: <e- ad- s- f>,Event Omitter,enter forward receiver's email address/f,13,true,true
17,P17: <e- f>,Event Omitter,compose new email/e,1,true,true
17,P17: <e- f>,Event Omitter,enter receiver's email address/e,2,true,true
17,P17: <e- f>,Event Omitter,enter email subject/e,3,true,true
17,P17: <e- f>,Event Omitter,enter email body/e,4,true,true
17,P17: <e- f>,Event Omitter,send email/e,5,true,true
17,P17: <e- f>,Event Omitter,open mailbox/e,6,true,true
17,P17: <e- f>,Event Omitter,select email/e,7,true,true
17,P17: <e- f>,Event Omitter,enter forward receiver's email address/f,8,true,true
18,P18: <e- au- f>,Event Omitter,compose new email/e,1,true,true
18,P18: <e- au- f>,Event Omitter,enter receiver's email address/e,2,true,true
18,P18: <e- au- f>,Event Omitter,enter email subject/e,3,true,true
18,P18: <e- au- f>,Event Omitter,enter email body/e,4,true,true
18,P18: <e- au- f>,Event Omitter,send email/e,5,true,true
18,P18: <e- au- f>,Event Omitter,open mailbox/e,6,true,true
18,P18: <e- au- f>,Event Omitter,select email/e,7,true,true
18,P18: <e- au- f>,Event Omitter,enter email autoresponse date interval/au,8,true,true
18,P18: <e- au- f>,Event Omitter,enter autoresponse email body/au,9,true,true
18,P18: <e- au- f>,Event Omitter,enter forward receiver's email address/f,10,true,true
19,P19: <e- ad- f>,Event Omitter,compose new email/e,1,true,true
19,P19: <e- ad- f>,Event Omitter,enter receiver's email address/e,2,true,true
19,P19: <e- ad- f>,Event Omitter,enter email subject/e,3,true,true
19,P19: <e- ad- f>,Event Omitter,enter email body/e,4,true,true
19,P19: <e- ad- f>,Event Omitter,send email/e,5,true,true
19,P19: <e- ad- f>,Event Omitter,open mailbox/e,6,true,true
19,P19: <e- ad- f>,Event Omitter,select email/e,7,true,true
19,P19: <e- ad- f>,Event Omitter,enter the receiver's email address/ad,8,true,true
19,P19: <e- ad- f>,Event Omitter,enter alias email addresses of receiver/ad,9,true,true
19,P19: <e- ad- f>,Event Omitter,create an addressbook for a receiver/ad,10,true,true
19,P19: <e- ad- f>,Event Omitter,get alias email addresses of receiver/ad,11,true,true
19,P19: <e- ad- f>,Event Omitter,enter forward receiver's email address/f,12,true,true
20,P20: <e- au- ad- f>,Event Omitter,compose new email/e,1,true,true
20,P20: <e- au- ad- f>,Event Omitter,enter receiver's email address/e,2,true,true
20,P20: <e- au- ad- f>,Event Omitter,enter email subject/e,3,true,true
20,P20: <e- au- ad- f>,Event Omitter,enter email body/e,4,true,true
20,P20: <e- au- ad- f>,Event Omitter,send email/e,5,true,true
20,P20: <e- au- ad- f>,Event Omitter,open mailbox/e,6,true,true
20,P20: <e- au- ad- f>,Event Omitter,select email/e,7,true,true
20,P20: <e- au- ad- f>,Event Omitter,enter email autoresponse date interval/au,8,true,true
20,P20: <e- au- ad- f>,Event Omitter,enter autoresponse email body/au,9,true,true
20,P20: <e- au- ad- f>,Event Omitter,enter the receiver's email address/ad,10,true,true
20,P20: <e- au- ad- f>,Event Omitter,enter alias email addresses of receiver/ad,11,true,true
20,P20: <e- au- ad- f>,Event Omitter,create an addressbook for a receiver/ad,12,true,true
20,P20: <e- au- ad- f>,Event Omitter,get alias email addresses of receiver/ad,13,true,true
20,P20: <e- au- ad- f>,Event Omitter,enter forward receiver's email address/f,14,true,true
21,P21: <e- au- ad- s- f>,Event Omitter,compose new email/e,1,true,true
21,P21: <e- au- ad- s- f>,Event Omitter,enter receiver's email address/e,2,true,true
21,P21: <e- au- ad- s- f>,Event Omitter,enter email subject/e,3,true,true
21,P21: <e- au- ad- s- f>,Event Omitter,enter email body/e,4,true,true
21,P21: <e- au- ad- s- f>,Event Omitter,send email/e,5,true,true
21,P21: <e- au- ad- s- f>,Event Omitter,open mailbox/e,6,true,true
21,P21: <e- au- ad- s- f>,Event Omitter,select email/e,7,true,true
