ProductID;L=3;V_3;E_3;L=4;V_4;E_4;
396;L=3;24;18;L=4;18;10;
397;L=3;27;20;L=4;20;12;
398;L=3;28;20;L=4;20;12;
399;L=3;21;13;L=4;13;7;
400;L=3;22;14;L=4;14;7;
401;L=3;25;16;L=4;16;9;
402;L=3;25;18;L=4;18;10;
403;L=3;26;18;L=4;18;10;
404;L=3;22;14;L=4;14;7;
405;L=3;23;15;L=4;15;7;
406;L=3;26;17;L=4;17;9;
407;L=3;30;22;L=4;22;16;
408;L=3;33;26;L=4;26;19;
409;L=3;25;18;L=4;18;10;
410;L=3;26;19;L=4;19;10;
411;L=3;29;21;L=4;21;12;
412;L=3;30;21;L=4;21;12;
413;L=3;23;14;L=4;14;7;
414;L=3;24;15;L=4;15;7;
415;L=3;27;17;L=4;17;9;
416;L=3;27;19;L=4;19;10;
417;L=3;26;18;L=4;18;10;
418;L=3;19;13;L=4;13;7;
419;L=3;20;14;L=4;14;7;
420;L=3;23;16;L=4;16;9;
421;L=3;27;21;L=4;21;16;
422;L=3;30;25;L=4;25;19;
423;L=3;22;17;L=4;17;10;
424;L=3;23;18;L=4;18;10;
425;L=3;26;20;L=4;20;12;
426;L=3;27;20;L=4;20;12;
427;L=3;20;13;L=4;13;7;
428;L=3;21;14;L=4;14;7;
429;L=3;24;16;L=4;16;9;
430;L=3;23;17;L=4;17;10;
431;L=3;24;18;L=4;18;10;
432;L=3;24;17;L=4;17;10;
433;L=3;20;13;L=4;13;7;
434;L=3;21;14;L=4;14;7;
435;L=3;24;16;L=4;16;9;
436;L=3;28;21;L=4;21;16;
437;L=3;31;25;L=4;25;19;
438;L=3;23;17;L=4;17;10;
439;L=3;24;18;L=4;18;10;
440;L=3;27;20;L=4;20;12;
441;L=3;28;20;L=4;20;12;
442;L=3;21;13;L=4;13;7;
443;L=3;22;14;L=4;14;7;
444;L=3;25;16;L=4;16;9;
445;L=3;25;18;L=4;18;10;
446;L=3;27;19;L=4;19;10;
447;L=3;22;14;L=4;14;7;
448;L=3;23;15;L=4;15;7;
449;L=3;26;17;L=4;17;9;
450;L=3;30;22;L=4;22;16;
451;L=3;33;26;L=4;26;19;
452;L=3;25;18;L=4;18;10;
453;L=3;26;19;L=4;19;10;
454;L=3;29;21;L=4;21;12;
455;L=3;30;21;L=4;21;12;
456;L=3;23;14;L=4;14;7;
457;L=3;24;15;L=4;15;7;
458;L=3;27;17;L=4;17;9;
459;L=3;27;19;L=4;19;10;
460;L=3;19;13;L=4;13;7;
461;L=3;20;14;L=4;14;7;
462;L=3;23;16;L=4;16;9;
463;L=3;27;21;L=4;21;16;
464;L=3;30;25;L=4;25;19;
465;L=3;22;17;L=4;17;10;
466;L=3;23;18;L=4;18;10;
467;L=3;26;20;L=4;20;12;
468;L=3;27;20;L=4;20;12;
469;L=3;20;13;L=4;13;7;
470;L=3;21;14;L=4;14;7;
471;L=3;24;16;L=4;16;9;
472;L=3;23;17;L=4;17;10;
473;L=3;24;18;L=4;18;10;
474;L=3;24;17;L=4;17;10;
475;L=3;20;13;L=4;13;7;
476;L=3;21;14;L=4;14;7;
477;L=3;24;16;L=4;16;9;
478;L=3;28;21;L=4;21;16;
479;L=3;31;25;L=4;25;19;
480;L=3;23;17;L=4;17;10;
481;L=3;24;18;L=4;18;10;
482;L=3;27;20;L=4;20;12;
483;L=3;28;20;L=4;20;12;
484;L=3;21;13;L=4;13;7;
485;L=3;22;14;L=4;14;7;
486;L=3;25;16;L=4;16;9;
487;L=3;25;18;L=4;18;10;
488;L=3;23;14;L=4;14;7;
489;L=3;22;14;L=4;14;7;
490;L=3;23;15;L=4;15;7;
491;L=3;26;17;L=4;17;9;
492;L=3;30;22;L=4;22;16;
493;L=3;33;26;L=4;26;19;
494;L=3;25;18;L=4;18;10;
495;L=3;26;19;L=4;19;10;
496;L=3;29;21;L=4;21;12;
497;L=3;27;17;L=4;17;9;
498;L=3;24;15;L=4;15;7;
