ProductID;L=3;V_3;E_3;L=4;V_4;E_4;
1258;L=3;59;99;L=4;99;171;
1259;L=3;62;105;L=4;105;180;
1260;L=3;44;63;L=4;63;90;
1261;L=3;48;68;L=4;68;96;
1262;L=3;53;84;L=4;84;135;
1263;L=3;57;89;L=4;89;141;
1264;L=3;66;110;L=4;110;186;
1265;L=3;65;112;L=4;112;197;
1266;L=3;69;117;L=4;117;203;
1267;L=3;64;110;L=4;110;188;
1268;L=3;30;36;L=4;36;38;
1269;L=3;34;41;L=4;41;44;
1270;L=3;39;57;L=4;57;83;
1271;L=3;43;62;L=4;62;89;
1272;L=3;48;78;L=4;78;128;
1273;L=3;52;83;L=4;83;134;
1274;L=3;57;99;L=4;99;173;
1275;L=3;39;57;L=4;57;83;
1276;L=3;43;62;L=4;62;89;
1277;L=3;48;78;L=4;78;128;
1278;L=3;52;83;L=4;83;134;
1279;L=3;61;104;L=4;104;179;
1280;L=3;68;115;L=4;115;194;
1281;L=3;46;68;L=4;68;98;
1282;L=3;50;73;L=4;73;104;
1283;L=3;55;89;L=4;89;143;
1284;L=3;59;94;L=4;94;149;
1285;L=3;66;113;L=4;113;198;
1286;L=3;33;37;L=4;37;37;
1287;L=3;38;53;L=4;53;76;
1288;L=3;42;58;L=4;58;82;
1289;L=3;47;74;L=4;74;121;
1290;L=3;51;79;L=4;79;127;
1291;L=3;56;95;L=4;95;166;
1292;L=3;42;58;L=4;58;82;
1293;L=3;47;74;L=4;74;121;
1294;L=3;51;79;L=4;79;127;
1295;L=3;60;100;L=4;100;172;
1296;L=3;63;106;L=4;106;181;
1297;L=3;49;69;L=4;69;97;
1298;L=3;54;85;L=4;85;136;
1299;L=3;58;90;L=4;90;142;
1300;L=3;67;111;L=4;111;187;
1301;L=3;70;118;L=4;118;204;
1302;L=3;66;113;L=4;113;198;
1303;L=3;38;53;L=4;53;76;
1304;L=3;42;58;L=4;58;82;
1305;L=3;47;74;L=4;74;121;
1306;L=3;51;79;L=4;79;127;
1307;L=3;56;95;L=4;95;166;
1308;L=3;60;100;L=4;100;172;
1309;L=3;63;106;L=4;106;181;
1310;L=3;45;64;L=4;64;91;
1311;L=3;49;69;L=4;69;97;
1312;L=3;54;85;L=4;85;136;
1313;L=3;58;90;L=4;90;142;
1314;L=3;67;111;L=4;111;187;
1315;L=3;70;118;L=4;118;204;
1316;L=3;65;111;L=4;111;189;
1317;L=3;31;37;L=4;37;39;
1318;L=3;35;42;L=4;42;45;
1319;L=3;40;58;L=4;58;84;
1320;L=3;44;63;L=4;63;90;
1321;L=3;49;79;L=4;79;129;
1322;L=3;53;84;L=4;84;135;
1323;L=3;58;100;L=4;100;174;
1324;L=3;40;58;L=4;58;84;
1325;L=3;44;63;L=4;63;90;
1326;L=3;49;79;L=4;79;129;
1327;L=3;53;84;L=4;84;135;
1328;L=3;62;105;L=4;105;180;
1329;L=3;69;116;L=4;116;195;
1330;L=3;47;69;L=4;69;99;
1331;L=3;51;74;L=4;74;105;
1332;L=3;56;90;L=4;90;144;
1333;L=3;60;95;L=4;95;150;
1334;L=3;66;112;L=4;112;191;
1335;L=3;22;24;L=4;24;24;
1336;L=3;27;40;L=4;40;63;
1337;L=3;31;45;L=4;45;69;
1338;L=3;36;61;L=4;61;108;
1339;L=3;40;66;L=4;66;114;
1340;L=3;45;82;L=4;82;153;
1341;L=3;31;45;L=4;45;69;
1342;L=3;36;61;L=4;61;108;
1343;L=3;40;66;L=4;66;114;
1344;L=3;49;87;L=4;87;159;
1345;L=3;52;93;L=4;93;168;
1346;L=3;38;56;L=4;56;84;
1347;L=3;43;72;L=4;72;123;
1348;L=3;47;77;L=4;77;129;
1349;L=3;56;98;L=4;98;174;
1350;L=3;55;100;L=4;100;185;
1351;L=3;59;105;L=4;105;191;
1352;L=3;57;103;L=4;103;189;
1353;L=3;27;40;L=4;40;63;
1354;L=3;31;45;L=4;45;69;
1355;L=3;36;61;L=4;61;108;
1356;L=3;40;66;L=4;66;114;
1357;L=3;45;82;L=4;82;153;
1358;L=3;49;87;L=4;87;159;
1359;L=3;52;93;L=4;93;168;
1360;L=3;34;51;L=4;51;78;
1361;L=3;38;56;L=4;56;84;
1362;L=3;43;72;L=4;72;123;
1363;L=3;47;77;L=4;77;129;
1364;L=3;56;98;L=4;98;174;
1365;L=3;55;100;L=4;100;185;
1366;L=3;59;105;L=4;105;191;
1367;L=3;61;108;L=4;108;195;
1368;L=3;20;22;L=4;22;22;
1369;L=3;24;27;L=4;27;28;
1370;L=3;29;43;L=4;43;67;
1371;L=3;33;48;L=4;48;73;
1372;L=3;38;64;L=4;64;112;
1373;L=3;42;69;L=4;69;118;
1374;L=3;47;85;L=4;85;157;
1375;L=3;29;43;L=4;43;67;
1376;L=3;33;48;L=4;48;73;
1377;L=3;38;64;L=4;64;112;
1378;L=3;42;69;L=4;69;118;
1379;L=3;51;90;L=4;90;163;
