SPL Name;Coverage Type;Total Time(ms);SAT Time(ms);ProductESGGeneration Time(ms);Test Generation Time(ms);Processed Products
SVM;eventcouplecoverage;52,78;3,06;0,71;24,68;12
SVM;eventcouplecoverage;48,39;3,04;0,72;21,96;12
