SPL;Product;Level;Operator;TotalMutants;CoveredMutants;CoverageEquivalentMutants;CoveragePercent;TestFileFound;TestFilePath
eMail;P0001;L4;EventOmission;9;7;2;77.78;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0001_L4.txt
eMail;P0002;L4;EventOmission;11;9;2;81.82;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0002_L4.txt
eMail;P0003;L4;EventOmission;13;11;2;84.62;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0003_L4.txt
eMail;P0004;L4;EventOmission;13;11;2;84.62;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0004_L4.txt
eMail;P0005;L4;EventOmission;9;7;2;77.78;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0005_L4.txt
eMail;P0006;L4;EventOmission;11;9;2;81.82;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0006_L4.txt
eMail;P0007;L4;EventOmission;15;13;2;86.67;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0007_L4.txt
eMail;P0008;L4;EventOmission;14;12;2;85.71;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0008_L4.txt
eMail;P0009;L4;EventOmission;8;6;2;75.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0009_L4.txt
eMail;P0010;L4;EventOmission;10;8;2;80.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0010_L4.txt
eMail;P0011;L4;EventOmission;12;10;2;83.33;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0011_L4.txt
eMail;P0012;L4;EventOmission;14;12;2;85.71;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0012_L4.txt
eMail;P0013;L4;EventOmission;16;14;2;87.5;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0013_L4.txt
eMail;P0014;L4;EventOmission;10;8;2;80.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0014_L4.txt
eMail;P0015;L4;EventOmission;12;10;2;83.33;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0015_L4.txt
eMail;P0016;L4;EventOmission;13;13;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0016_L4.txt
eMail;P0017;L4;EventOmission;8;8;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0017_L4.txt
eMail;P0018;L4;EventOmission;10;10;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0018_L4.txt
eMail;P0019;L4;EventOmission;12;12;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0019_L4.txt
eMail;P0020;L4;EventOmission;14;14;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0020_L4.txt
eMail;P0021;L4;EventOmission;15;15;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0021_L4.txt
eMail;P0022;L4;EventOmission;9;9;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0022_L4.txt
eMail;P0023;L4;EventOmission;11;11;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L4/P0023_L4.txt
