SPL;Product;Level;Operator;TotalMutants;CoveredMutants;CoverageEquivalentMutants;CoveragePercent;TestFileFound;TestFilePath
eMail;P0001;L3;EventOmission;9;9;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0001_L3.txt
eMail;P0002;L3;EventOmission;11;11;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0002_L3.txt
eMail;P0003;L3;EventOmission;13;13;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0003_L3.txt
eMail;P0004;L3;EventOmission;13;13;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0004_L3.txt
eMail;P0005;L3;EventOmission;9;9;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0005_L3.txt
eMail;P0006;L3;EventOmission;11;11;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0006_L3.txt
eMail;P0007;L3;EventOmission;15;15;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0007_L3.txt
eMail;P0008;L3;EventOmission;14;14;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0008_L3.txt
eMail;P0009;L3;EventOmission;8;8;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0009_L3.txt
eMail;P0010;L3;EventOmission;10;10;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0010_L3.txt
eMail;P0011;L3;EventOmission;12;12;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0011_L3.txt
eMail;P0012;L3;EventOmission;14;14;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0012_L3.txt
eMail;P0013;L3;EventOmission;16;16;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0013_L3.txt
eMail;P0014;L3;EventOmission;10;10;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0014_L3.txt
eMail;P0015;L3;EventOmission;12;12;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0015_L3.txt
eMail;P0016;L3;EventOmission;13;13;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0016_L3.txt
eMail;P0017;L3;EventOmission;8;8;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0017_L3.txt
eMail;P0018;L3;EventOmission;10;10;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0018_L3.txt
eMail;P0019;L3;EventOmission;12;12;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0019_L3.txt
eMail;P0020;L3;EventOmission;14;14;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0020_L3.txt
eMail;P0021;L3;EventOmission;15;15;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0021_L3.txt
eMail;P0022;L3;EventOmission;9;9;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0022_L3.txt
eMail;P0023;L3;EventOmission;11;11;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L3/P0023_L3.txt
