SPL;Product;Level;Operator;TotalMutants;CoveredMutants;CoverageEquivalentMutants;CoveragePercent;TestFileFound;TestFilePath
BankAccountv2;P0001;L4;EdgeOmission;10;10;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0001_L4.txt
BankAccountv2;P0002;L4;EdgeOmission;13;12;1;92.31;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0002_L4.txt
BankAccountv2;P0003;L4;EdgeOmission;17;15;2;88.24;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0003_L4.txt
BankAccountv2;P0004;L4;EdgeOmission;20;18;2;90.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0004_L4.txt
BankAccountv2;P0005;L4;EdgeOmission;12;12;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0005_L4.txt
BankAccountv2;P0006;L4;EdgeOmission;13;13;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0006_L4.txt
BankAccountv2;P0007;L4;EdgeOmission;16;15;1;93.75;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0007_L4.txt
BankAccountv2;P0008;L4;EdgeOmission;17;15;2;88.24;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0008_L4.txt
BankAccountv2;P0009;L4;EdgeOmission;11;10;1;90.91;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0009_L4.txt
BankAccountv2;P0010;L4;EdgeOmission;14;12;2;85.71;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0010_L4.txt
BankAccountv2;P0011;L4;EdgeOmission;13;12;1;92.31;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0011_L4.txt
BankAccountv2;P0012;L4;EdgeOmission;14;13;1;92.86;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0012_L4.txt
BankAccountv2;P0013;L4;EdgeOmission;14;12;2;85.71;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0013_L4.txt
BankAccountv2;P0014;L4;EdgeOmission;10;9;1;90.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0014_L4.txt
BankAccountv2;P0015;L4;EdgeOmission;11;10;1;90.91;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0015_L4.txt
BankAccountv2;P0016;L4;EdgeOmission;14;12;2;85.71;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0016_L4.txt
BankAccountv2;P0017;L4;EdgeOmission;18;15;3;83.33;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0017_L4.txt
BankAccountv2;P0018;L4;EdgeOmission;21;18;3;85.71;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0018_L4.txt
BankAccountv2;P0019;L4;EdgeOmission;13;12;1;92.31;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0019_L4.txt
BankAccountv2;P0020;L4;EdgeOmission;14;13;1;92.86;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0020_L4.txt
BankAccountv2;P0021;L4;EdgeOmission;17;15;2;88.24;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0021_L4.txt
BankAccountv2;P0022;L4;EdgeOmission;18;15;3;83.33;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0022_L4.txt
BankAccountv2;P0023;L4;EdgeOmission;11;9;2;81.82;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0023_L4.txt
BankAccountv2;P0024;L4;EdgeOmission;12;10;2;83.33;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0024_L4.txt
BankAccountv2;P0025;L4;EdgeOmission;15;12;3;80.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0025_L4.txt
BankAccountv2;P0026;L4;EdgeOmission;15;13;2;86.67;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0026_L4.txt
BankAccountv2;P0027;L4;EdgeOmission;16;14;2;87.5;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0027_L4.txt
BankAccountv2;P0028;L4;EdgeOmission;12;11;1;91.67;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0028_L4.txt
BankAccountv2;P0029;L4;EdgeOmission;13;12;1;92.31;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0029_L4.txt
BankAccountv2;P0030;L4;EdgeOmission;16;14;2;87.5;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0030_L4.txt
BankAccountv2;P0031;L4;EdgeOmission;20;17;3;85.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0031_L4.txt
BankAccountv2;P0032;L4;EdgeOmission;23;20;3;86.96;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0032_L4.txt
BankAccountv2;P0033;L4;EdgeOmission;15;14;1;93.33;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L4/P0033_L4.txt
