SPL;Product;Level;Operator;TotalMutants;CoveredMutants;CoverageEquivalentMutants;CoveragePercent;TestFileFound;TestFilePath
eMail;P0001;L2;EventOmission;9;9;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0001_L2.txt
eMail;P0002;L2;EventOmission;11;11;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0002_L2.txt
eMail;P0003;L2;EventOmission;13;13;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0003_L2.txt
eMail;P0004;L2;EventOmission;13;13;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0004_L2.txt
eMail;P0005;L2;EventOmission;9;9;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0005_L2.txt
eMail;P0006;L2;EventOmission;11;11;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0006_L2.txt
eMail;P0007;L2;EventOmission;15;15;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0007_L2.txt
eMail;P0008;L2;EventOmission;14;14;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0008_L2.txt
eMail;P0009;L2;EventOmission;8;8;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0009_L2.txt
eMail;P0010;L2;EventOmission;10;10;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0010_L2.txt
eMail;P0011;L2;EventOmission;12;12;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0011_L2.txt
eMail;P0012;L2;EventOmission;14;14;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0012_L2.txt
eMail;P0013;L2;EventOmission;16;16;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0013_L2.txt
eMail;P0014;L2;EventOmission;10;10;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0014_L2.txt
eMail;P0015;L2;EventOmission;12;12;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0015_L2.txt
eMail;P0016;L2;EventOmission;13;13;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0016_L2.txt
eMail;P0017;L2;EventOmission;8;8;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0017_L2.txt
eMail;P0018;L2;EventOmission;10;10;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0018_L2.txt
eMail;P0019;L2;EventOmission;12;12;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0019_L2.txt
eMail;P0020;L2;EventOmission;14;14;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0020_L2.txt
eMail;P0021;L2;EventOmission;15;15;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0021_L2.txt
eMail;P0022;L2;EventOmission;9;9;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0022_L2.txt
eMail;P0023;L2;EventOmission;11;11;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/eMail/testsequences/L2/P0023_L2.txt
