SPL;Product;Level;Operator;TotalMutants;CoveredMutants;CoverageEquivalentMutants;CoveragePercent;TestFileFound;TestFilePath
BankAccountv2;P0039;L3;EdgeOmission;17;17;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0039_L3.txt
BankAccountv2;P0040;L3;EdgeOmission;17;17;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0040_L3.txt
BankAccountv2;P0041;L3;EdgeOmission;16;16;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0041_L3.txt
BankAccountv2;P0042;L3;EdgeOmission;10;10;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0042_L3.txt
BankAccountv2;P0043;L3;EdgeOmission;13;13;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0043_L3.txt
BankAccountv2;P0044;L3;EdgeOmission;17;17;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0044_L3.txt
BankAccountv2;P0045;L3;EdgeOmission;20;20;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0045_L3.txt
BankAccountv2;P0046;L3;EdgeOmission;12;12;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0046_L3.txt
BankAccountv2;P0047;L3;EdgeOmission;13;13;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0047_L3.txt
BankAccountv2;P0048;L3;EdgeOmission;16;16;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0048_L3.txt
BankAccountv2;P0049;L3;EdgeOmission;17;17;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0049_L3.txt
BankAccountv2;P0050;L3;EdgeOmission;11;11;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0050_L3.txt
BankAccountv2;P0051;L3;EdgeOmission;14;14;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0051_L3.txt
BankAccountv2;P0052;L3;EdgeOmission;13;13;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0052_L3.txt
BankAccountv2;P0053;L3;EdgeOmission;14;14;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0053_L3.txt
BankAccountv2;P0054;L3;EdgeOmission;14;14;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0054_L3.txt
BankAccountv2;P0055;L3;EdgeOmission;10;10;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0055_L3.txt
BankAccountv2;P0056;L3;EdgeOmission;11;11;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0056_L3.txt
BankAccountv2;P0057;L3;EdgeOmission;14;14;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0057_L3.txt
