ProductID;L=3;V_3;E_3;L=4;V_4;E_4;
167;L=3;35;42;L=4;42;49;
168;L=3;35;42;L=4;42;49;
169;L=3;38;51;L=4;51;65;
170;L=3;31;34;L=4;34;37;
171;L=3;46;71;L=4;71;101;
172;L=3;31;34;L=4;34;37;
173;L=3;31;34;L=4;34;37;
174;L=3;35;42;L=4;42;49;
175;L=3;42;57;L=4;57;73;
176;L=3;33;37;L=4;37;41;
177;L=3;38;51;L=4;51;65;
178;L=3;40;54;L=4;54;69;
179;L=3;31;34;L=4;34;37;
180;L=3;35;42;L=4;42;49;
181;L=3;47;79;L=4;79;132;
182;L=3;38;51;L=4;51;65;
183;L=3;33;39;L=4;39;45;
184;L=3;28;29;L=4;29;30;
185;L=3;48;74;L=4;74;105;
186;L=3;46;71;L=4;71;101;
187;L=3;35;42;L=4;42;49;
188;L=3;37;45;L=4;45;53;
189;L=3;28;29;L=4;29;30;
190;L=3;48;74;L=4;74;105;
191;L=3;48;74;L=4;74;105;
192;L=3;40;54;L=4;54;69;
193;L=3;46;71;L=4;71;101;
194;L=3;28;29;L=4;29;30;
195;L=3;40;54;L=4;54;69;
196;L=3;48;74;L=4;74;105;
197;L=3;39;57;L=4;57;83;
198;L=3;40;54;L=4;54;69;
199;L=3;35;42;L=4;42;49;
200;L=3;40;54;L=4;54;69;
201;L=3;42;57;L=4;57;73;
202;L=3;40;54;L=4;54;69;
203;L=3;40;54;L=4;54;69;
204;L=3;33;39;L=4;39;45;
205;L=3;46;71;L=4;71;101;
206;L=3;40;54;L=4;54;69;
207;L=3;33;39;L=4;39;45;
208;L=3;61;124;L=4;124;222;
209;L=3;39;57;L=4;57;83;
210;L=3;28;29;L=4;29;30;
211;L=3;33;37;L=4;37;41;
212;L=3;35;42;L=4;42;49;
213;L=3;38;51;L=4;51;65;
214;L=3;33;39;L=4;39;45;
215;L=3;42;57;L=4;57;73;
216;L=3;31;34;L=4;34;37;
217;L=3;40;54;L=4;54;69;
218;L=3;29;31;L=4;31;33;
219;L=3;34;45;L=4;45;63;
220;L=3;61;124;L=4;124;222;
221;L=3;35;42;L=4;42;49;
222;L=3;46;71;L=4;71;101;
223;L=3;48;74;L=4;74;105;
224;L=3;42;57;L=4;57;73;
225;L=3;33;39;L=4;39;45;
226;L=3;28;29;L=4;29;30;
227;L=3;30;32;L=4;32;34;
228;L=3;33;39;L=4;39;45;
229;L=3;29;31;L=4;31;33;
230;L=3;42;57;L=4;57;73;
231;L=3;42;57;L=4;57;73;
232;L=3;44;68;L=4;68;97;
233;L=3;33;37;L=4;37;41;
234;L=3;29;31;L=4;31;33;
235;L=3;37;45;L=4;45;53;
236;L=3;42;57;L=4;57;73;
237;L=3;42;57;L=4;57;73;
238;L=3;35;42;L=4;42;49;
239;L=3;31;34;L=4;34;37;
240;L=3;31;34;L=4;34;37;
241;L=3;33;37;L=4;37;41;
242;L=3;33;37;L=4;37;41;
243;L=3;28;29;L=4;29;30;
244;L=3;33;37;L=4;37;41;
245;L=3;29;31;L=4;31;33;
246;L=3;35;42;L=4;42;49;
247;L=3;30;35;L=4;35;42;
248;L=3;31;34;L=4;34;37;
249;L=3;40;54;L=4;54;69;
250;L=3;37;45;L=4;45;53;
251;L=3;35;42;L=4;42;49;
252;L=3;28;29;L=4;29;30;
253;L=3;33;37;L=4;37;41;
254;L=3;42;57;L=4;57;73;
255;L=3;37;45;L=4;45;53;
256;L=3;35;42;L=4;42;49;
257;L=3;42;57;L=4;57;73;
258;L=3;41;60;L=4;60;87;
259;L=3;30;32;L=4;32;34;
260;L=3;31;34;L=4;34;37;
261;L=3;39;57;L=4;57;83;
262;L=3;33;39;L=4;39;45;
263;L=3;40;54;L=4;54;69;
264;L=3;35;42;L=4;42;49;
265;L=3;28;29;L=4;29;30;
266;L=3;42;57;L=4;57;73;
267;L=3;40;54;L=4;54;69;
268;L=3;42;57;L=4;57;73;
269;L=3;42;57;L=4;57;73;
270;L=3;48;74;L=4;74;105;
271;L=3;31;34;L=4;34;37;
272;L=3;33;37;L=4;37;41;
273;L=3;40;54;L=4;54;69;
274;L=3;33;39;L=4;39;45;
275;L=3;42;57;L=4;57;73;
276;L=3;37;45;L=4;45;53;
277;L=3;46;71;L=4;71;101;
278;L=3;40;54;L=4;54;69;
279;L=3;31;34;L=4;34;37;
280;L=3;30;32;L=4;32;34;
281;L=3;29;31;L=4;31;33;
282;L=3;35;42;L=4;42;49;
283;L=3;48;74;L=4;74;105;
284;L=3;42;57;L=4;57;73;
